Sample,Plate ,Well,Date,Notes,Replicate,ng/uL
E137.1T.AX20,SM 05.04.21,H3,5/4/2021,,A,0.842
E165.2B.AX20,SM 04.27.21,A1,4/27/2021,,A,1.471
E163.3B.AX20,SM 04.27.21,B1,4/27/2021,,A,1.065
E167.1B.AX20,SM 04.27.21,C1,4/27/2021,,A,0.161
E158.3B.AX20,SM 04.27.21,D1,4/27/2021,,A,1.219
E166.2B.AX20,SM 04.27.21,E1,4/27/2021,,A,1.171
E159.1B.AX20,SM 04.27.21,F1,4/27/2021,,A,1.182
E163.1B.AX20,SM 04.27.21,G1,4/27/2021,,A,1.526
E161.1B.AX20,SM 04.27.21,H1,4/27/2021,,A,1.566
E158.1B.AX20,SM 04.27.21,A2,4/27/2021,,A,1.5
E162.1B.AX20,SM 04.27.21,B2,4/27/2021,,A,1.109
E158.2B.AX20,SM 04.27.21,C2,4/27/2021,,A,0.604
E166.1B.AX20,SM 04.27.21,D2,4/27/2021,,A,1.094
E160.2B.AX20,SM 04.27.21,E2,4/27/2021,,A,0.959
E161.2B.AX20,SM 04.27.21,F2,4/27/2021,,A,1.134
E164.2B.AX20,SM 04.27.21,G2,4/27/2021,,A,4.088
E162.3B.AX20,SM 04.27.21,H2,4/27/2021,,A,0.875
E162.2B.AX20,SM 04.27.21,A3,4/27/2021,,A,1.339
E167.2B.AX20,SM 04.27.21,B3,4/27/2021,,A,0.933
E163.2B.AX20,SM 04.27.21,C3,4/27/2021,,A,1.434
E159.3B.AX20,SM 04.27.21,D3,4/27/2021,,A,0.981
E164.1B.AX20,SM 04.27.21,E3,4/27/2021,,A,0.812
E159.2B.AX20,SM 04.27.21,F3,4/27/2021,,A,1.306
E165.1B.AX20,SM 04.27.21,G3,4/27/2021,,A,1.273
E160.1B.AX20,SM 04.27.21,H3,4/27/2021,,A,1.504
E191.1B.AX20,SM 06.02.21,A1,6/2/2021,,A,1.021
E194.2B.AX20,SM 06.02.21,B1,6/2/2021,,A,1.339
E193.1B.AX20,SM 06.02.21,C1,6/2/2021,,A,1.131
E190.1B.AX20,SM 06.02.21,D1,6/2/2021,,A,1.091
E196.2B.AX20,SM 06.02.21,E1,6/2/2021,,A,1.478
E194.1B.AX20,SM 06.02.21,F1,6/2/2021,,A,1.12
E188.3B.AX20,SM 06.02.21,G1,6/2/2021,,A,1.255
E197.2B.AX20,SM 06.02.21,H1,6/2/2021,,A,1.317
E194.3B.AX20,SM 06.02.21,A2,6/2/2021,,A,1.138
E192.1B.AX20,SM 06.02.21,B2,6/2/2021,,A,1.175
E191.2B.AX20,SM 06.02.21,C2,6/2/2021,,A,1.295
E189.1B.AX20,SM 06.02.21,D2,6/2/2021,,A,0.988
E192.2B.AX20,SM 06.02.21,E2,6/2/2021,,A,1.189
E196.1B.AX20,SM 06.02.21,F2,6/2/2021,,A,1.442
E195.1B.AX20,SM 06.02.21,G2,6/2/2021,,A,1.237
E189.2B.AX20,SM 06.02.21,H2,6/2/2021,,A,1.178
E195.2B.AX20,SM 06.02.21,A3,6/2/2021,,A,1.402
E189.3B.AX20,SM 06.02.21,B3,6/2/2021,,A,1.017
E190.2B.AX20,SM 06.02.21,C3,6/2/2021,,A,1.284
E188.2B.AX20,SM 06.02.21,D3,6/2/2021,,A,1.182
E192.3B.AX20,SM 06.02.21,E3,6/2/2021,,A,1.142
E188.1B.AX20,SM 06.02.21,F3,6/2/2021,,A,1.237
E197.1B.AX20,SM 06.02.21,G3,6/2/2021,,A,3.359
E193.2B.AX20,SM 06.02.21,H3,6/2/2021,,A,1.273
E141.2B.1T.AX20,SM 06.11.21,A1,6/11/2021,,A,1.303
E141.2B.2T.AX20,SM 06.11.21,B1,6/11/2021,,A,1.27
E132.2T.AX20,SM 06.11.21,C1,6/11/2021,,A,1.178
E142.2B.2T.AX20,SM 06.11.21,D1,6/11/2021,,A,1.281
E132.1T.AX20,SM 06.11.21,E1,6/11/2021,,A,1.101
E131.2T.AX20,SM 06.11.21,F1,6/11/2021,,A,1.321
E141.1B.2T.AX20,SM 06.11.21,G1,6/11/2021,,A,1.222
E142.2B.1T.AX20,SM 06.11.21,H1,6/11/2021,,A,1.372
E131.1T.AX20,SM 06.11.21,A2,6/11/2021,,A,2.957
E142.1B.2T.AX20,SM 06.11.21,B2,6/11/2021,,A,1.35
E142.1B.1T.AX20,SM 06.11.21,C2,6/11/2021,,A,1.219
E141.1B.1T.AX20,SM 06.11.21,D2,6/11/2021,,A,1.321
E263.1B.NO20,no extraction due to contamination,,,,,
